"","Single-ended 1 Last (mbar)"
"398","14.809"
"399","14.812"
"400","14.812"
"401","14.809"
"402","14.809"
"403","14.809"
"404","14.806"
"405","14.808"
"406","14.805"
"407","14.804"
"408","14.802"
"409","14.803"
"410","14.803"
"411","14.801"
"412","14.801"
"413","14.802"
"414","14.802"
"415","14.800"
"416","14.800"
"417","14.799"
"418","14.798"
"419","14.797"
"420","14.796"
"421","14.793"
"422","14.793"
"423","14.793"
"424","14.794"
"425","14.794"
"426","14.791"
"427","14.790"
"428","14.791"
"429","14.790"
"430","14.790"
"431","14.790"
"432","14.788"
"433","14.788"
"434","14.788"
"435","14.789"
"436","14.788"
"437","14.787"
"438","14.784"
"439","14.786"
"440","14.786"
"441","14.787"
"442","14.786"
"443","14.785"
"444","14.785"
"445","14.784"
"446","14.785"
"447","14.787"
"448","14.785"
"449","14.781"
"450","14.779"
"451","14.779"
"452","14.779"
"453","14.779"
"454","14.778"
"455","14.773"
"456","14.776"
"457","14.775"
"458","14.775"
"459","14.774"
"460","14.773"
"461","14.772"
"462","14.772"
"463","14.771"
"464","14.773"
"465","14.773"
"466","14.771"
"467","14.768"
"468","14.768"
"469","14.769"
"470","14.769"
"471","14.767"
"472","14.765"
"473","14.765"
"474","14.764"
"475","14.767"
"476","14.767"
"477","14.767"
"478","14.765"
"479","14.765"
"480","14.765"
"481","14.764"
"482","14.766"
"483","14.762"
"484","14.761"
"485","14.760"
"486","14.760"
"487","14.759"
"488","14.759"
"489","14.756"
"490","14.755"
"491","14.758"
"492","14.759"
"493","14.756"
"494","14.754"
"495","14.753"
"496","14.753"
"497","14.755"
"498","14.754"
"499","14.752"
"500","14.751"
"501","14.753"
"502","14.752"
"503","14.751"
"504","14.751"
"505","14.750"
"506","14.749"
"507","14.749"
"508","14.747"
"509","14.748"
"510","14.752"
"511","14.746"
"512","14.747"
"513","14.747"
"514","14.748"
"515","14.747"
"516","14.748"
"517","14.747"
"518","14.745"
"519","14.745"
"520","14.744"
"521","14.743"
"522","14.746"
"523","14.745"
"524","14.743"
"525","14.742"
"526","14.738"
"527","14.740"
"528","14.740"
"529","14.739"
"530","14.739"
"531","14.737"
"532","14.740"
"533","14.739"
"534","14.738"
"535","14.736"
"536","14.737"
"537","14.735"
"538","14.734"
"539","14.732"
"540","14.734"
"541","14.732"
"542","14.734"
"543","14.733"
"544","14.731"
"545","14.730"
"546","14.731"
